Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
7044242,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
7067754,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
7091307,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
7114982,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
7139066,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
7161978,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
7185538,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
7209386,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
7233449,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
7260451,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
7280014,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
7303327,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
7326867,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
7350469,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
7374237,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
7400661,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
7421115,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
7444703,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
7468190,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
7491762,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
7515613,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
7539738,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
7562425,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
7586209,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
7609569,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
7633102,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
7656903,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
7680257,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
7703787,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
7727415,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
7751487,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
7775018,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
7800092,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
7821621,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
7845138,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
7868676,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
7892253,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
7915819,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
7941494,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
7962935,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
7986475,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
8010360,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
8034322,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
8057114,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
8080700,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
8104293,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
8127808,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
8151478,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
8174976,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
8201852,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
8222054,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
8245938,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
8269917,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
8293560,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
8316296,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
8339849,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
8363406,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
8386959,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
8410765,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
8434061,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
8457627,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
8482246,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
8504752,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
8528307,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
8552110,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
8575422,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
8603646,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
8622561,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
8646125,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
8669643,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
8693195,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
8716748,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
8741502,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
8763872,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
8788057,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
8811567,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
8834539,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
8858383,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
8882943,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
8905184,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
8928798,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
8952351,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
